Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text5	Text6	Text7	Text8	Text9	Text10	Text11	Text12	Text13	Text14	Text15	Text16	Text17	Text18	Text19	Text20	Text23	Text24	Text25	Text27	Full description																										
11	DESWLltd	n/a	2.200	2.249	2.302	2.649	2.098	2.345	2.676	2.628	2.973	2.340	2.962	3.011	2.312	2.600	2.858	2.579	2.518	2.173	2.340	2.211	2.281	2.126	2.652	2.628	Word length, number of letters, standard deviation																										
12	PCNARz	n/a	1.144	0.965	1.210	1.008	1.280	1.748	0.973	0.685	-0.567	0.764	0.490	0.700	0.747	0.355	0.524	0.771	0.450	0.977	1.124	0.264	0.895	0.646	0.023	0.685	Text Easability PC Narrativity, z score
13	PCNARp	n/a	87.290	83.150	88.690	84.130	89.800	95.910	83.400	75.170	28.770	77.640	68.440	75.800	77.040	63.680	69.850	77.940	67.360	83.400	86.860	60.260	81.330	73.890	50.800	75.170	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.939	2.194	0.409	0.329	0.896	1.715	1.079	0.539	0.905	0.326	0.333	1.268	0.545	0.818	1.698	0.597	0.881	0.841	0.593	-0.838	0.680	1.541	-0.409	0.540	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	82.380	98.570	65.540	62.550	81.330	95.640	85.770	70.190	81.590	62.550	62.930	89.620	70.540	79.100	95.450	72.240	81.060	79.950	72.240	20.330	75.170	93.820	34.460	70.540	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	-0.166	-0.562	-0.597	-1.049	0.302	-2.312	-0.489	-0.145	-1.397	-1.032	-1.263	-1.958	-1.225	-0.551	-1.495	-1.056	-0.528	-0.372	-1.896	1.793	0.542	-0.869	1.028	-0.144	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	43.640	28.770	27.760	14.690	61.790	1.040	31.210	44.430	8.230	15.150	10.380	2.560	11.120	29.120	6.810	14.690	30.150	35.570	2.940	96.330	70.540	19.220	84.610	44.430	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-0.127	-0.751	-0.655	-0.864	-0.174	-0.333	-1.171	-1.079	-1.026	-1.405	-0.881	-1.222	-1.652	-1.874	-1.678	-1.116	-1.234	-0.589	-1.287	-1.582	-0.900	-1.989	-1.300	-1.087	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	45.220	22.660	25.780	19.490	43.25	37.070	12.100	14.010	15.390	8.080	18.940	11.120	4.950	3.070	4.75	13.350	10.930	27.760	10.030	5.710	18.410	2.330	9.680	14.010	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.626	-0.195	0.443	0.945	0.526	0.006	0.257	0.183	0.880	0.741	0.289	-0.318	0.197	0.417	0.125	0.844	0.804	0.671	0.537	0.661	0.560	0.533	-0.004	0.187	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	73.240	42.470	67	82.640	69.850	50	59.870	57.140	81.060	77.040	61.030	37.830	57.530	65.910	54.780	79.950	78.810	74.860	70.190	74.540	70.880	70.190	50	57.140	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-1.110	-1.502	-0.278	-1.161	0.195	-1.464	-0.600	-0.480	0.192	-1.712	-0.021	-0.433	-1.814	-1.598	-1.820	-1.041	-1.523	-0.518	-1.450	-1	0.413	-2.218	-0.025	-0.487	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	13.350	6.680	39.360	12.300	57.530	7.210	27.430	31.560	57.530	4.360	49.200	33.360	3.510	5.590	3.440	14.920	6.430	30.5	7.350	15.870	65.910	1.360	49.200	31.560	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.278	-2.189	-2.472	-2.380	-3.126	-0.560	-2.765	-2.636	-2.573	-2.161	-2.376	-0.958	-1.473	-2.697	-1.774	-2.140	-2.368	-2.219	-2.031	-3.834	-2.844	-2.455	-2.690	-2.639	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	1.160	1.430	0.680	0.870	0.090	28.770	0.290	0.430	0.510	1.540	0.890	17.110	7.080	0.360	3.840	1.620	0.910	1.320	2.120	0	0.230	0.710	0.360	0.430	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	0.001	1.270	1.189	0.476	0.080	0.962	-0.328	0.124	0.379	0.989	-0.158	0.165	0.566	0.778	1.047	0.679	0.870	0.139	0.805	0.273	0.700	0.992	0.423	0.121	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	50	89.620	88.100	68.080	52.790	83.150	37.450	54.780	64.430	83.650	44.040	56.360	71.230	77.940	85.080	74.860	80.780	55.170	78.810	60.640	75.800	83.890	66.280	54.780	Text Easability PC Temporality, percentile																											
28	CRFNO1	CRFBN1um	0.218	0.042	0.137	0.134	0.147	0.029	0.064	0.103	0.201	0.088	0.177	0.081	0.075	0.073	0.058	0.130	0.161	0.146	0.077	0.107	0.084	0.034	0.118	0.103	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.442	0.091	0.324	0.371	0.442	0.189	0.300	0.314	0.282	0.243	0.451	0.235	0.231	0.203	0.121	0.326	0.310	0.375	0.259	0.267	0.274	0.133	0.333	0.314	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.256	0.049	0.163	0.194	0.164	0.039	0.084	0.132	0.286	0.134	0.221	0.108	0.127	0.115	0.110	0.180	0.215	0.182	0.116	0.187	0.109	0.054	0.172	0.132	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.215	0.080	0.131	0.088	0.115	0.053	0.043	0.094	0.085	0.135	0.089	0.059	0.100	0.059	0.073	0.081	0.097	0.137	0.099	0.132	0.081	0.030	0.087	0.094	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.409	0.152	0.300	0.306	0.340	0.219	0.235	0.263	0.142	0.269	0.319	0.197	0.229	0.154	0.137	0.254	0.221	0.323	0.249	0.287	0.220	0.108	0.266	0.263	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.246	0.089	0.154	0.128	0.130	0.064	0.058	0.113	0.140	0.172	0.121	0.081	0.153	0.094	0.132	0.118	0.141	0.161	0.151	0.194	0.105	0.046	0.135	0.113	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.098	0.029	0.070	0.082	0.098	0.056	0.067	0.068	0.103	0.046	0.096	0.067	0.046	0.042	0.032	0.070	0.070	0.083	0.057	0.041	0.056	0.039	0.044	0.068	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.124	0.109	0.109	0.124	0.121	0.130	0.119	0.120	0.211	0.094	0.125	0.129	0.103	0.090	0.099	0.112	0.118	0.127	0.114	0.065	0.103	0.098	0.069	0.120	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.087	0.071	0.067	0.058	0.071	0.087	0.048	0.050	0.037	0.060	0.059	0.050	0.052	0.031	0.052	0.049	0.045	0.066	0.062	0.031	0.046	0.030	0.035	0.050	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.118	0.210	0.113	0.104	0.108	0.209	0.097	0.102	0.107	0.133	0.094	0.109	0.125	0.083	0.164	0.094	0.091	0.104	0.135	0.059	0.092	0.086	0.066	0.102	Content word overlap, all sentences, proportional, standard deviation																									
38	LSASS1	LSAassa	0.155	0.060	0.127	0.168	0.145	0.075	0.093	0.135	0.181	0.096	0.135	0.104	0.099	0.125	0.083	0.155	0.184	0.128	0.101	0.112	0.107	0.108	0.133	0.135	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.175	0.154	0.165	0.182	0.159	0.163	0.146	0.166	0.245	0.151	0.156	0.176	0.162	0.166	0.169	0.187	0.206	0.165	0.158	0.124	0.151	0.167	0.127	0.166	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.150	0.130	0.109	0.139	0.126	0.112	0.079	0.126	0.088	0.114	0.103	0.082	0.115	0.121	0.072	0.127	0.171	0.117	0.104	0.115	0.094	0.096	0.120	0.126	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.178	0.202	0.151	0.180	0.146	0.149	0.130	0.160	0.172	0.188	0.137	0.153	0.188	0.169	0.144	0.174	0.195	0.166	0.172	0.112	0.149	0.180	0.125	0.160	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.341	0.046	0.235	0.202	0.245	0.072	0.152	0.214	0.228	0.242	0.224	0.186	0.272	0.173	0.167	0.225	0.268	0.328	0.221	0.331	0.184	0.122	0.265	0.214	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.177	0.131	0.168	0.174	0.175	0.167	0.149	0.160	0.186	0.289	0.151	0.185	0.346	0.172	0.178	0.188	0.209	0.187	0.292	0.153	0.153	0.165	0.159	0.160	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.366	0.404	0.354	0.338	0.344	0.411	0.290	0.333	0.329	0.336	0.288	0.308	0.339	0.307	0.360	0.317	0.337	0.351	0.314	0.282	0.314	0.274	0.292	0.333	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.109	0.247	0.120	0.136	0.103	0.239	0.113	0.128	0.175	0.187	0.101	0.163	0.190	0.133	0.218	0.129	0.138	0.115	0.185	0.113	0.112	0.121	0.091	0.128	LSA given/new, sentences, standard deviation																										
46	LDTTRc	TYPTOKc	0.275	0.323	0.291	0.418	0.282	0.273	0.397	0.420	0.458	0.403	0.519	0.350	0.397	0.454	0.401	0.410	0.376	0.279	0.375	0.741	0.300	0.388	0.480	0.420	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.142	0.148	0.137	0.171	0.131	0.124	0.183	0.204	0.241	0.183	0.261	0.162	0.189	0.203	0.187	0.171	0.154	0.138	0.163	0.411	0.141	0.173	0.242	0.204	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	84.019	65.117	85.369	82.783	80.691	72.584	109.918	108.785	68.630	106.367	86.664	86.634	123.975	121.280	87.659	91.625	90.596	92.218	96.695	130.453	91.902	115.037	122.756	108.785	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	119.009	117.447	116.026	146.262	115.098	93.981	138.548	138.147	113.010	163.211	120.630	128.767	189.511	172.386	142.661	146.876	169.457	130.710	159.503	113.189	109.781	173.299	110.935	139.824	Lexical diversity, VOCD, all words																										
50	CNCAll	CONi	92.544	73.623	93.739	96.902	99.239	65.364	91.875	91.359	95.437	88.897	88.668	60.766	75.085	87.683	79.798	93.994	91.101	93.603	88.579	120.203	101.224	89.666	91.432	91.359	All connectives incidence
51	CNCCaus	CONCAUSi	20.965	15.464	17.315	28.049	19.598	26.816	21.062	19.880	29.805	25.674	24.372	17.509	20.887	21.656	21.876	28.536	27.206	22.054	24.761	21.267	20.681	25.197	19.419	19.880	Causal connectives incidence
52	CNCLogic	CONLOGi	40.301	31.748	36.205	47.107	37.466	33.438	36.909	32.203	46.869	41.840	40.019	33.816	34.219	37.780	35.680	45.165	41.575	38.446	43.505	35.136	34.030	38.693	28.405	32.203	Logical connectives incidence
53	CNCADC	CONADVCONi	14.859	13.137	15.899	17.983	16.258	11.650	18.289	15.524	26.562	16.921	18.966	15.621	12.714	17.184	15.501	17.497	14.990	15.433	18.489	15.257	13.101	16.045	13.670	15.524	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	26.189	16.627	27.862	16.370	26.238	13.449	19.115	20.401	21.466	14.725	17.070	14.190	13.415	16.595	15.501	16.003	16.440	23.880	13.055	24.041	26.161	17.319	19.675	20.401	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	15.062	10.742	10.586	16.321	16.540	15.452	14.592	15.040	11.350	14.484	26.553	15.563	11.145	14.123	12.841	16.726	21.864	16.392	14.441	12.483	13.884	16.624	20.015	15.040	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	43.490	41.806	51.395	47.400	54.892	26.285	51.302	50.631	44.398	45.684	46.657	28.266	37.480	50.786	41.091	44.828	46.627	44.519	44.927	67.499	55.329	46.165	53.616	50.631	Additive connectives incidence
57	CNCPos	n/a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Positive connectives incidence
58	CNCNeg	n/a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative connectives incidence																										
59	SMCAUSv	CAUSV	30.870	45.775	16.371	15.539	31.752	48.481	31.825	22.039	27.025	14.519	21.811	34.102	18.245	23.539	38.753	20.389	22.154	26.255	17.395	17.106	24.925	38.346	15.586	22.039	Causal verb incidence
60	SMCAUSvp	CAUSVP	41.658	53.849	25.776	29.027	41.732	61.849	41.564	30.900	40.229	27.870	31.769	41.140	29.472	35.603	50.447	33.018	35.447	37.624	30.122	26.815	36.955	50.857	20.952	30.900	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	26.935	32.432	16.568	17.103	26.198	29.187	31.197	20.960	18.686	12.116	19.346	24.489	13.168	17.242	27.838	19.136	18.469	21.643	13.967	12.020	24.266	24.386	12.052	20.960	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.349	0.176	0.573	0.865	0.314	0.275	0.306	0.401	0.487	0.917	0.455	0.206	0.614	0.511	0.301	0.618	0.599	0.432	0.730	0.553	0.482	0.326	0.343	0.401	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	0.688	0.427	0.948	1.379	0.667	0.834	0.584	0.823	1.185	1.802	0.951	0.643	1.303	1.058	0.660	1.266	1.235	0.909	1.482	1.519	0.734	0.865	1.489	0.823	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.057	0.030	0.048	0.064	0.080	0.037	0.066	0.058	0.108	0.038	0.079	0.077	0.034	0.040	0.045	0.057	0.059	0.067	0.035	0.030	0.054	0.026	0.045	0.058	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.440	0.167	0.486	0.276	0.537	0.166	0.445	0.417	0.464	0.165	0.377	0.336	0.143	0.254	0.267	0.338	0.305	0.450	0.147	0.480	0.527	0.180	0.445	0.417	WordNet verb overlap
66	SMTEMP	TEMPta	0.836	0.970	0.942	0.872	0.846	0.928	0.810	0.852	0.861	0.922	0.831	0.873	0.906	0.923	0.947	0.903	0.927	0.846	0.909	0.853	0.907	0.947	0.884	0.852	Temporal cohesion, tense and aspect repetition, mean																										
67	SYNLE	SYNLE	2.699	1.130	1.922	3.233	2.737	1.135	2.332	2.873	4.390	2.693	3.645	2.186	2.846	2.566	1.586	3.080	2.917	2.498	2.186	6.539	2.733	1.084	4.086	2.873	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.694	0.467	0.591	0.607	0.602	0.366	0.619	0.704	0.866	0.728	0.741	0.569	0.726	0.699	0.671	0.636	0.680	0.689	0.628	0.880	0.680	0.637	0.887	0.704	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.732	0.708	0.775	0.75	0.698	0.712	0.730	0.732	0.656	0.797	0.708	0.762	0.799	0.770	0.849	0.754	0.764	0.742	0.795	0.762	0.741	0.804	0.694	0.732	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.925	0.903	0.943	0.944	0.916	0.909	0.933	0.926	0.868	0.959	0.911	0.940	0.961	0.957	0.978	0.941	0.941	0.926	0.954	0.943	0.937	0.967	0.919	0.926	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.907	0.884	0.932	0.934	0.896	0.891	0.918	0.910	0.844	0.950	0.890	0.922	0.952	0.943	0.970	0.930	0.932	0.911	0.943	0.928	0.922	0.957	0.910	0.910	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.098	0.086	0.059	0.082	0.102	0.105	0.113	0.093	0.111	0.083	0.104	0.119	0.082	0.083	0.100	0.085	0.080	0.093	0.085	0.044	0.078	0.082	0.056	0.093	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.090	0.171	0.058	0.071	0.095	0.134	0.099	0.077	0.082	0.075	0.086	0.107	0.078	0.069	0.110	0.068	0.071	0.080	0.076	0.047	0.067	0.077	0.051	0.077	Sentence syntax similarity, all combinations, across paragraphs, mean																									
74	DRNP	n/a	319.967	379.473	361.261	387.754	339.330	360.626	356.079	364.394	369.547	382.186	362.447	376.895	392.966	397.046	368.081	396.992	393.267	331.629	388.666	359.686	351.749	392.493	391.321	364.394	Noun phrase density, incidence
75	DRVP	n/a	250.695	239.480	237.063	219.459	246.046	283.735	237.133	220.990	195.661	194.714	222.191	233.507	207.793	203.142	221.967	212.282	206.758	252.637	217.198	194.175	237.095	200.359	168.001	220.990	Verb phrase density, incidence
76	DRAP	n/a	48.782	39.548	48.601	37.774	46.601	37.363	42.818	35.740	32.121	28.763	33.665	48.521	28.399	33.190	33.112	35.332	35.074	49.313	30.377	30.513	42.352	39.678	30.066	35.740	Adverbial phrase density, incidence
77	DRPP	n/a	70.561	68.491	82.878	79.359	85.959	62.993	86.395	93.518	124.469	78.050	108.203	78.846	64.806	78.326	68.471	82.377	75.200	71.732	69.287	103.560	77.782	74.259	121.114	93.518	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	2.917	2.600	2.637	3.518	2.133	3.025	4.226	5.286	14.130	2.506	6.923	5.436	2.477	3.472	3.944	3.760	3.810	2.648	2.480	4.161	2.843	3.302	3.279	5.286	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	18.183	22.990	8.461	20.084	16.097	28.001	16.209	13.886	13.358	17.333	17.544	12.931	18.121	15.712	14.721	17.401	16.481	7.625	18.306	10.171	6.303	16.219	7.112	13.886	Negation density, incidence
80	DRGERUND	GERUNDi	19.133	13.753	21.565	6.255	17.305	11.487	16.606	16.604	14.825	6.109	16.690	9.098	6.646	6.709	12.245	6.411	7.785	14.931	5.981	19.880	20.434	6.719	16.140	16.604	Gerund density, incidence
81	DRINF	INFi	19.676	13.479	15.584	11.142	18.713	23.219	12.545	12.621	14.362	8.718	18.492	17.680	9.040	8.709	16.281	9.303	9.648	20.867	9.846	12.483	18.045	9.210	9.411	12.621	Infinitive density, incidence																											
82	WRDNOUN	NOUNi	228.781	236.264	208.650	245.407	195.823	182.439	217.325	228.920	261.447	288.176	218.397	246.209	299.843	292.945	273.424	264.532	291.234	224.191	267.632	257.050	223.664	267.609	269.099	228.920	Noun incidence
83	WRDVERB	VERBi	160.933	129.592	168.116	121.335	162.864	145.035	154.435	147.872	124.547	117.350	122.332	129.370	124.536	126.405	143.820	123.831	131.848	163.920	125.119	134.999	163.227	125.638	119.708	147.872	Verb incidence
84	WRDADJ	ADJi	68.526	57.269	58.872	80.532	67.407	57.107	68.172	82.350	93.661	76.780	83.642	77.645	84.083	84.564	76.496	73.701	86.504	72.692	75.960	75.820	62.991	72.405	97.819	82.350	Adjective incidence
85	WRDADV	ADVi	91.933	74.580	78.076	65.188	79.520	85.844	70.186	62.061	57.988	57.010	69.891	84.168	52.010	56.022	60.995	61.265	61.659	80.088	57.619	47.619	68.596	68.640	46.292	62.061	Adverb incidence
86	WRDPRO	DENPRPi	110.320	131.304	118.059	132.819	128.375	180.191	126.539	105.804	46.406	121.709	93.220	125.022	120.160	105.926	117.725	127.205	106.961	112.872	133.506	87.841	101.553	118.744	83.511	105.804	Pronoun incidence
87	WRDPRP1s	n/a	16.012	36.059	25.029	49.648	20.443	72.599	38.592	18.726	5.482	42.835	19.251	54.758	50.813	34.132	49.163	54.999	46.255	13.470	56.305	20.804	17.056	53.116	24.444	18.726	First person singular pronoun incidence
88	WRDPRP1p	n/a	1.560	4.858	2.086	6.597	1.248	7.235	9.277	2.792	1.621	8.615	6.923	4.577	6.811	13.888	4.815	5.206	6.170	5.434	3.647	12.020	6.303	8.978	10.604	2.792	First person plural pronoun incidence
89	WRDPRP2	PRO2i	13.569	35.443	17.197	30.884	14.327	45.252	13.007	9.270	2.857	25.330	33.191	34.617	24.684	17.419	24.352	26.800	15.115	10.228	24.798	11.096	12.565	17.783	1.959	9.270	Second person pronoun incidence
90	WRDPRP3s	n/a	54.888	23.059	39.904	30.932	65.073	28.656	42.389	40.505	19.458	25.742	9.388	13.732	25.510	22.127	26.737	24.487	24.929	56.710	33.623	23.116	35.101	21.200	24.657	40.505	Third person singular pronoun incidence
91	WRDPRP3p	n/a	9.227	8.963	10.232	5.815	9.779	4.374	8.154	11.355	5.328	6.350	5.121	3.433	5.738	9.945	4.036	5.061	5.135	9.817	5.470	14.332	20.475	10.079	8.475	11.355	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.288	2.311	2.405	2.385	2.487	2.519	2.342	2.312	2.156	2.293	2.369	2.455	2.342	2.253	2.209	2.338	2.25	2.362	2.446	2.006	2.449	2.207	2.127	2.312	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	2.994	3.031	3.112	3.046	3.160	3.146	3.103	3.097	3.021	3.082	3.114	3.050	3.056	2.917	2.941	3.011	2.885	3.032	3.151	2.956	3.164	2.888	3.044	3.097	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	1.372	1.590	1.633	1.614	1.764	1.488	1.760	1.803	1.229	1.350	1.795	1.673	1.605	1.503	1.471	1.648	1.588	1.561	1.760	1.147	1.792	1.397	1.616	1.803	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	273.111	273.971	288.629	326.512	276.192	329.926	306.903	306.549	380.097	327.486	364.263	321.657	326.128	326.742	332.360	335.998	316.984	276.900	336.155	311.568	259.689	332.434	304.595	306.549	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	575.387	571.095	574.791	568.647	580.007	576.212	574.796	573.144	566.401	561.587	574.380	579.181	568.451	562.942	568.939	567.871	564.865	574.339	570.372	560.826	579.430	562.650	566.607	573.144	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	376.979	399.439	374.669	367.519	397.635	348.464	378.937	384.218	350.490	376.513	355.985	350.756	371.593	378.155	360.881	367.339	381.809	367.763	353.572	427.806	406.743	377.157	410.736	384.218	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	417.823	430.842	407.314	408.228	428.958	388.024	415.232	423.916	385.744	411.372	392.926	388.922	406.163	415.934	402.913	405.074	423.095	411.096	386.699	455.092	434.563	414.372	449.682	423.916	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	424.766	424.631	417.256	420.781	430.963	420.278	424.097	430.345	413.532	415.455	420.323	421.036	419.649	426.723	418.492	419.786	428.314	421.613	405.070	439.583	434.821	419.825	445.867	430.345	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	4.015	4.037	3.673	3.480	4.498	3.745	3.729	3.685	3.635	2.960	3.646	3.514	2.953	3.460	3.213	3.567	3.507	4.148	2.877	3.575	3.990	3.435	3.530	3.685	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.404	5.659	5.485	4.866	5.762	4.608	5.033	5.524	5.855	3.666	5.522	4.694	3.538	4.917	4.170	4.742	5.071	5.168	3.187	6.300	5.399	5.240	5.495	5.524	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.556	1.451	1.549	1.395	1.520	1.264	1.530	1.498	1.506	1.067	1.394	1.409	1.056	1.447	1.717	1.481	1.439	1.425	1.043	1.673	1.551	1.527	1.547	1.498	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.619	1.443	1.164	1.260	1.305	0.999	1.234	1.341	1.588	1.080	1.341	1.234	1.079	1.401	1.221	1.314	1.456	1.278	0.919	1.681	1.283	1.372	1.523	1.341	Hypernymy for nouns and verbs, mean																										
104	RDFRE	READFRE	80.257	89.892	78.421	69.707	82.889	82.467	72.872	71.297	53.607	78.677	57.927	64.747	80.886	75.844	68.959	71.460	74.969	80.841	79.089	67.883	81.739	89.997	62.817	71.297	Flesch Reading Ease
105	RDFKGL	READFKGL	5.651	2.260	5.860	7.738	4.971	3.456	6.108	7.106	9.659	5.906	9.345	6.352	5.306	5.711	5.706	6.837	6.047	5.344	5.293	10.862	4.916	2.364	10.075	7.106	Flesch-Kincaid Grade level
106	RDL2	L2	16.896	13.077	15.641	17.231	21.562	20.255	17.404	15.548	15.036	13.385	18.962	20.285	14.412	12.271	11.818	15.748	13.494	17.445	17.471	4.342	17.044	11.028	7.930	15.548	Coh-Metrix L2 Readability
