Number	Label	Label V2.x	Text	Text2	Text3	Text4	Text	Text6	Text7	Text8	Text9	Text10	Text11	Text12	Text13	Text14	Text15	Text16	Text17	Text18	Text19	Text20	Text21	Text22	Text23	Text24	Text25	Text26	Text27	Text28	Text29	Text30	Text31	Text32	Full description																																		
46	LDTTRc	TYPTOKc	0.200	0.261	0.285	0.220	0.310	0.191	0.210	0.319	0.324	0.295	0.308	0.405	0.351	0.314	0.432	0.243	0.348	0.352	0.327	0.303	0.362	0.187	0.324	0.234	0.739	0.273	0.274	0.225	0.382	0.401	0.341	0.324	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.100	0.105	0.121	0.093	0.139	0.084	0.092	0.136	0.145	0.123	0.140	0.208	0.155	0.139	0.204	0.121	0.159	0.173	0.137	0.140	0.178	0.085	0.140	0.100	0.411	0.135	0.117	0.095	0.194	0.188	0.156	0.145	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	72.024	71.363	55.166	74.703	72.597	67.168	68.939	91.820	86.072	106.842	62.559	62.637	99.322	92.307	68.292	76.365	114.862	111.707	74.906	81.083	83.093	76.641	90.908	95.759	130.974	82.542	50.434	76.820	127.818	97.718	91.558	86.072	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	109.492	90.415	105.087	104.627	136.126	102.083	89.852	124.240	119.909	116.462	74.624	105.806	154.613	109.827	102.591	118.316	175.021	164.876	127.710	137.297	158.25	118.773	153.632	113.784	113.720	165.347	89.940	97.014	185.096	97.961	143.592	118.611	Lexical diversity, VOCD, all words																														
50	CNCAll	CONi	96.348	115.798	74.386	97.339	95.316	103.421	68.014	94.437	95.867	93.473	81.708	96.815	89.532	82.028	91.785	61.176	76.941	85.058	83.723	92.503	97.430	98.146	90.209	104.432	120.203	88.355	81.423	104.504	85.204	95.371	90.214	95.867	All connectives incidence
51	CNCCaus	CONCAUSi	21.833	27.784	18.349	18.300	27.525	20.243	28.017	21.879	21.323	22.054	24.244	30.436	26.047	22.044	25.113	18.248	21.910	21.510	23.203	28.315	28.182	23.010	25.689	23.658	21.267	26.395	14.789	21.018	24.214	20.431	27.203	21.323	Causal connectives incidence
52	CNCLogic	CONLOGi	40.961	37.263	36.532	37.648	45.753	38.393	34.519	37.868	33.181	38.535	30.913	47.626	41.861	32.050	41.029	33.673	34.945	36.578	37.359	43.970	42.542	39.439	44.173	39.740	35.136	39.843	19.654	34.471	36.833	29.968	44.127	33.181	Logical connectives incidence
53	CNCADC	CONADVCONi	15.071	15.728	15.208	16.691	17.503	16.780	12.137	18.794	16.053	18.470	17.016	27.162	16.573	15.305	19.277	15.373	12.956	16.651	15.974	17.534	16.104	15.784	18.274	16.677	15.257	14.373	8.880	13.765	15.347	14.405	16.255	16.053	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	28.016	25.258	17.357	29.228	16.460	27.625	13.831	19.511	21.323	16.194	20.262	21.655	15.285	20.295	17.685	14.170	13.906	16.324	16.364	16.506	17.715	25.891	14.022	25.416	24.041	16.608	17.173	26.633	16.541	20.391	15.538	21.323	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	15.521	14.764	13.059	11.152	15.644	16.970	15.881	15.272	15.360	20.327	13.009	11.386	14.757	13.504	28.650	15.895	11.410	14.358	13.680	16.863	17.849	16.687	15.006	12.411	12.483	21.732	11.655	14.272	15.859	21.109	15.490	15.360	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	44.696	62.703	39.259	53.142	46.570	57.456	27.348	52.922	52.770	55.513	39.003	45.022	45.228	41.335	49.164	28.288	37.837	48.643	43.074	43.299	49.923	46.321	44.630	56.573	67.499	44.621	49.951	57.867	43.711	56.345	42.788	52.770	Additive connectives incidence
57	CNCPos	n/a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Positive connectives incidence
58	CNCNeg	n/a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Negative connectives incidence																																	
59	SMCAUSv	CAUSV	31.687	20.389	38.185	16.616	21.720	34.245	50.006	33.287	24.478	28.044	19.070	26.343	17.794	26.931	23.344	38.118	21.989	32.975	45.411	26.257	37.308	29.289	21.507	22.934	18.031	32.059	13.581	24.332	23.475	16.520	16.781	24.478	Causal verb incidence
60	SMCAUSvp	CAUSVP	43.086	31.951	48.103	26.571	35.097	44.291	63.995	43.042	33.805	38.430	28.884	39.664	31.329	36.268	33.690	45.647	33.914	44.931	57.619	38.692	52.674	41.030	34.404	35.629	27.739	44.929	20.666	36.225	35.639	22.067	30.023	33.805	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	27.307	21.691	27.440	16.878	18.047	28.233	30.382	31.510	21.600	21.138	10.575	16.371	14.889	21.169	19.277	24.837	15.769	19.053	30.130	22.052	22.747	23.311	17.325	22.960	11.558	21.848	10.251	22.694	16.200	12.530	14.199	21.600	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.359	0.566	0.259	0.598	0.615	0.293	0.280	0.293	0.380	0.370	0.514	0.504	0.759	0.346	0.442	0.197	0.541	0.362	0.269	0.473	0.411	0.400	0.599	0.553	0.525	0.401	0.520	0.488	0.517	0.335	0.787	0.380	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	0.692	1.156	0.598	0.987	1.288	0.639	0.833	0.602	0.859	0.881	1.744	1.380	1.487	0.863	0.995	0.658	1.145	0.949	0.644	1.087	1.024	0.882	1.247	0.875	1.577	1.016	1.229	0.799	1.248	1.498	1.628	0.859	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.075	0.056	0.063	0.059	0.067	0.076	0.067	0.073	0.071	0.070	0.064	0.109	0.051	0.065	0.095	0.114	0.043	0.057	0.065	0.072	0.056	0.079	0.051	0.061	0.028	0.057	0.031	0.063	0.052	0.051	0.060	0.071	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.547	0.523	0.407	0.561	0.379	0.620	0.383	0.538	0.557	0.487	0.517	0.532	0.237	0.551	0.5	0.505	0.218	0.419	0.443	0.449	0.409	0.539	0.217	0.496	0.453	0.397	0.494	0.594	0.366	0.510	0.248	0.557	WordNet verb overlap
66	SMTEMP	TEMPta	0.834	0.836	0.873	0.938	0.916	0.851	0.926	0.803	0.854	0.825	0.882	0.863	0.911	0.855	0.823	0.931	0.906	0.955	0.951	0.952	0.939	0.840	0.901	0.851	0.896	0.951	0.909	0.888	0.960	0.871	0.907	0.854	Temporal cohesion, tense and aspect repetition, mean																																		
67	SYNLE	SYNLE	2.799	5.374	2.486	2.559	1.777	2.763	1.119	2.358	2.998	2.569	5.914	4.529	2.785	2.641	3.834	1.478	2.499	1.392	1.256	1.878	2.022	2.879	2.051	2.738	5.928	1.553	7.235	3.307	1.745	4.445	2.824	2.998	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	0.727	0.676	0.531	0.613	0.597	0.607	0.363	0.640	0.724	0.699	0.987	0.887	0.695	0.708	0.764	0.578	0.698	0.668	0.674	0.623	0.647	0.698	0.599	0.751	0.896	0.639	0.812	0.690	0.648	0.916	0.659	0.724	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.722	0.674	0.711	0.746	0.886	0.692	0.840	0.727	0.727	0.711	0.680	0.677	0.787	0.716	0.694	0.829	0.793	0.836	0.866	0.844	0.818	0.734	0.797	0.719	0.804	0.824	0.682	0.725	0.873	0.687	0.788	0.727	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.914	0.898	0.910	0.920	0.981	0.905	0.963	0.925	0.921	0.926	0.886	0.880	0.956	0.929	0.899	0.968	0.961	0.979	0.979	0.969	0.966	0.918	0.955	0.922	0.956	0.970	0.880	0.922	0.979	0.909	0.945	0.921	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.894	0.874	0.888	0.908	0.970	0.883	0.948	0.906	0.901	0.908	0.874	0.858	0.945	0.913	0.876	0.950	0.951	0.959	0.971	0.951	0.938	0.901	0.944	0.906	0.945	0.949	0.867	0.904	0.973	0.899	0.933	0.901	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.095	0.063	0.116	0.051	0.077	0.106	0.108	0.117	0.094	0.090	0.064	0.105	0.089	0.092	0.105	0.098	0.091	0.087	0.100	0.064	0.084	0.091	0.099	0.067	0.045	0.089	0.049	0.073	0.078	0.057	0.072	0.094	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.087	0.064	0.099	0.049	0.122	0.096	0.136	0.098	0.075	0.083	0.054	0.077	0.078	0.084	0.089	0.120	0.084	0.095	0.137	0.094	0.094	0.080	0.088	0.066	0.051	0.095	0.040	0.062	0.097	0.050	0.068	0.075	Sentence syntax similarity, all combinations, across paragraphs, mean																																		
74	DRNP	n/a	307.271	345.468	351.599	354.141	366.844	331.152	358.395	348.730	355.350	344.199	389.090	364.935	382.688	372.097	356.353	352.261	386.212	378.228	351.385	379.630	368.315	322.223	381.888	337.108	356.449	380.279	409.827	346.461	396.976	382.801	388.966	355.350	Noun phrase density, incidence
75	DRVP	n/a	248.342	243.809	249.855	236.518	224.278	242.647	281.357	233.879	219.021	239.529	151.979	191.546	197.980	206.960	217.880	220.758	215.729	209.150	228.268	209.519	209.287	253.796	223.327	235.288	192.325	212.431	165.426	237.434	209.174	166.760	212.793	219.021	Verb phrase density, incidence
76	DRAP	n/a	50.686	38.200	50.5	50.036	38.181	47.829	37.475	43.416	35.365	38.692	32.181	31.776	29.943	40.075	33.778	55.163	28.249	33.630	33.896	37.171	38.985	51.224	31.347	43.619	31.438	37.685	26.118	42.698	38.822	31.085	29.832	35.365	Adverbial phrase density, incidence
77	DRPP	n/a	72.519	100.669	59.757	86.337	82.619	90.522	66.714	91.382	100.132	83.584	154.997	128.516	82.731	119.942	116.191	81.621	67.631	80.745	73.896	84.765	82.601	75.610	71.690	89.978	103.560	76.950	136.010	82.706	71.506	126.177	77.162	100.132	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	2.705	5.807	2.810	2.769	4.217	2.245	3.349	4.956	5.651	3.584	9.586	14.809	2.707	3.884	7.870	5.595	2.456	4.095	4.545	4.115	3.020	3.097	2.776	5.766	4.161	4.123	3.004	3.159	3.467	3.551	2.534	5.651	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	17.647	11.197	27.110	8.869	19.453	16.095	27.702	16.830	14.527	17.135	7.481	13.469	17.332	10.778	18.481	12.549	18.265	15.068	15.455	16.819	16.507	8.043	18.309	14.867	10.171	15.606	7.868	6.551	15.574	7.542	19.458	14.527	Negation density, incidence
80	DRGERUND	GERUNDi	19.128	18.644	11.571	21.818	5.487	17.503	11.073	16.051	16.538	17.162	8.749	14.362	6.272	18.340	14.944	7.425	6.339	6.224	11.991	5.681	6.844	14.494	5.342	12.824	19.417	7.321	22.266	20.589	7.048	15.762	4.159	16.538	Gerund density, incidence
81	DRINF	INFi	20.609	18.644	14.629	16.429	11.608	19.558	23.959	12.872	13.418	20.222	14.176	14.288	9.739	13.761	19.365	17.255	10.063	9.499	17.749	11.272	10.803	21.892	10.929	17.866	12.483	9.941	4.016	19.380	8.981	9.896	10.852	13.418	Infinitive density, incidence																																		
82	WRDNOUN	NOUNi	215.689	188.475	217.043	193.631	224.595	179.483	172.124	202.711	208.342	204.997	269.597	250.186	278.366	202.227	201.167	227.608	286.569	265.764	251.428	243.692	254.648	207.089	257.309	205.399	257.050	272.581	269.899	207.603	262.718	250.919	275.709	208.342	Noun incidence
83	WRDVERB	VERBi	158.111	154.336	122.242	165.712	127.693	159.164	141.584	150.257	144.407	126.671	102.376	120.107	120.365	148.597	115.925	120	131.102	132.882	146.493	122.787	126.484	160.940	130.273	147.920	133.611	138.602	138.655	160.109	131.246	117.039	121.910	144.407	Verb incidence
84	WRDADJ	ADJi	65.692	46.637	62.814	55.163	74.276	63.620	53.947	63.643	76.209	74.035	77.092	94.583	71.738	79.378	77.903	69.333	78.288	83.256	72.685	63.518	81.728	67.654	71.725	67.872	75.358	76.719	71.923	58.375	75.769	94.732	72.333	76.209	Adjective incidence
85	WRDADV	ADVi	93.193	60.699	81.578	80.835	65.524	81.161	86.693	72.682	62.756	75.631	49.528	58.788	57.839	66.260	70.740	90.144	53.724	57.980	63.030	62.847	66.027	82.361	58.827	71.646	47.619	64.890	41.920	67.967	66.504	47.008	60.620	62.756	Adverb incidence
86	WRDPRO	DENPRPi	115.476	125.042	144.971	122.263	139.165	135.155	186.074	130.871	113.619	125.625	55.791	46.361	124.162	116.599	99.301	136.314	122.940	111.973	123.680	135.310	123.063	118.619	135.437	108.233	87.841	111.167	94.613	106.532	118.513	86.792	132.046	113.619	Pronoun incidence
87	WRDPRP1s	n/a	16.101	18.488	44.384	25.149	53.689	20.890	74.556	39.676	19.173	53.891	0.862	5.284	43.379	43.239	19.984	61.699	51.466	36.796	49.784	59.894	51.533	13.161	56.508	25.623	20.804	49.129	12.308	17.586	53.203	25.100	57.131	19.173	First person singular pronoun incidence
88	WRDPRP1p	n/a	1.481	3.047	6.034	2.133	6.575	1.332	7.369	9.506	2.878	8.581	1.192	1.563	8.517	6.045	7.074	4.601	6.933	14.904	5.411	5.681	9.126	5.849	3.760	5.171	12.020	6.281	4.016	6.629	8.697	10.854	3.442	2.878	First person plural pronoun incidence
